"Sp","Betacov","R.Alb","R.Car3","R.Gut1","Rank","PropRank","InSample"
"Micropteropus pusillus",1,0.0770811921891059,0.00806451612903226,0.118279569892473,50.0714285714286,0.128312788590611,1
"Tadarida aegyptiaca",0,0.358684480986639,0.0116487455197133,0.0161290322580645,126.666666666667,0.128820752921472,0
"Myotis annectans",0,0.121274409044193,0.121863799283154,0.151433691756272,141,0.13152396669454,0
"Hipposideros ater",0,0.169578622816033,0.109318996415771,0.130824372759857,144.333333333333,0.136573997330553,0
"Arielulus circumdatus",0,0.124357656731757,0.130824372759857,0.155913978494624,147,0.137032002662079,0
"Harpiocephalus mordax",0,0.140801644398767,0.156810035842294,0.119175627240143,148.333333333333,0.138929102493735,0
"Hipposideros lylei",0,0.195786228160329,0.147849462365591,0.0797491039426523,148.166666666667,0.141128264822858,0
"Otonycteris hemprichii",0,0.198355601233299,0.226702508960573,0.0456989247311828,165.666666666667,0.156919011641685,0
"Neoromicia somalicus",0,NA,0.114695340501792,0.201612903225806,176.5,0.158154121863799,0
"Nanonycteris veldkampii",0,0.10945529290853,0.0663082437275986,0.301971326164875,172.5,0.159244954267001,0
